x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x12 x14 x15 x16 x17 x18 x19 x20 x21 x22 x23 x24 x25 x26 x27 x28 x29 x30
01 02 02 02 02 02 02 02 01 02 02 01 01 01 05 02 05 13 01 02 03 01 04 07 05 04 02 05 
07 01 01 02 01 02 01 01 02 03 02 01 02 01 04 01 03 12 01 02 03 01 03 06 05 03 04 09 
04 02 02 02 02 02 02 02 01 02 01 01 01 01 05 02 04 12 01 02 03 01 02 07 05 03 04 06 
03 02 01 01 01 01 01 01 02 04 02 01 01 01 03 02 03 12 01 01 03 01 06 01 06 03 04 11 
05 02 01 01 01 01 01 01 01 05 02 03 01 02 06 01 04 13 01 02 03 01 04 01 06 04 01 11 
05 02 02 02 02 02 02 02 02 02 02 03 03 01 02 02 03 13 01 01 03 01 02 01 05 03 04 05 
06 02 02 02 02 02 02 02 01 03 02 01 01 02 07 02 03 12 01 02 03 01 07 01 06 03 04 04 
04 02 02 02 02 02 02 02 03 02 02 01 02 01 05 01 01 15 01 03 03 01 04 01 04 04 02 10 
03 02 02 02 02 02 02 02 01 03 02 01 02 02 05 01 03 15 01 01 03 02 03 06 04 04 04 12 
01 02 02 02 02 02 02 02 04 04 02 01 03 02 04 01 01 15 01 01 03 02 03 03 04 05 01 12 
04 02 02 02 02 02 02 02 01 04 01 03 03 01 05 01 02 12 01 05 03 02 03 06 04 03 01 07 
04 02 02 02 02 02 02 02 02 03 02 03 02 02 07 01 03 12 01 01 03 02 03 06 05 03 02 12 
05 02 02 02 02 02 02 02 02 02 01 02 01 02 04 01 01 13 01 02 03 02 03 07 04 05 02 12 
07 02 02 02 02 02 02 02 03 05 02 03 01 02 09 01 04 14 01 01 03 02 02 06 05 03 03 03 
04 02 02 02 02 02 02 02 01 02 01 02 02 01 03 02 01 12 01 01 03 02 03 03 08 03 01 06 
03 02 02 02 02 02 02 02 02 05 01 01 02 01 03 03 02 11 01 03 03 02 02 01 05 03 04 07 
05 02 02 02 02 02 02 02 01 02 02 01 02 01 07 01 05 13 01 03 03 02 07 06 04 04 01 07 
03 02 02 02 02 02 02 02 03 05 02 03 01 01 02 01 04 11 01 03 03 02 04 06 03 04 01 05 
02 02 02 02 02 02 02 02 01 03 02 03 02 02 05 02 03 14 01 01 03 02 02 01 06 03 01 01 
04 02 02 02 02 02 02 02 02 02 02 03 03 01 01 02 02 14 01 02 03 02 03 06 06 03 04 11 
